image_name,area_px
30_7.MP4.00_01_13_15.Still016__det1__cls1__crop00536_Simple Segmentation.tiff,3281
30_7.MP4.00_01_27_12.Still020__det2__cls1__crop00539_Simple Segmentation.tiff,6240
30_7.MP4.00_01_27_12.Still020__det5__cls1__crop00540_Simple Segmentation.tiff,3179
30_7.MP4.00_01_44_04.Still024__det0__cls1__crop00541_Simple Segmentation.tiff,6209
30_7.MP4.00_01_58_23.Still026__det1__cls1__crop00545_Simple Segmentation.tiff,3979
30_8.MP4.00_00_34_24.Still009__det0__cls1__crop00551_Simple Segmentation.tiff,5042
30_8.MP4.00_00_48_23.Still010__det3__cls1__crop00552_Simple Segmentation.tiff,3898
30_8.MP4.00_01_01_14.Still013__det0__cls1__crop00554_Simple Segmentation.tiff,3974
30_8.MP4.00_01_14_04.Still016__det0__cls1__crop00557_Simple Segmentation.tiff,5539
30_8.MP4.00_01_34_04.Still017__det0__cls1__crop00558_Simple Segmentation.tiff,4906
30_8.MP4.00_01_42_12.Still018__det1__cls1__crop00559_Simple Segmentation.tiff,2965
30_8.MP4.00_02_02_11.Still022__det5__cls1__crop00561_Simple Segmentation.tiff,3450
30_8.MP4.00_02_12_04.Still024__det0__cls1__crop00562_Simple Segmentation.tiff,6467
30_8.MP4.00_02_16_19.Still025__det0__cls1__crop00563_Simple Segmentation.tiff,3586
30_8.MP4.00_02_17_20.Still026__det1__cls1__crop00564_Simple Segmentation.tiff,3690
30_8.MP4.00_02_30_13.Still027__det0__cls1__crop00565_Simple Segmentation.tiff,4023
30_9.MP4.00_00_06_20.Still002__det1__cls1__crop00567_Simple Segmentation.tiff,3009
30_9.MP4.00_00_11_24.Still003__det0__cls1__crop00569_Simple Segmentation.tiff,7084
30_9.MP4.00_00_27_04.Still007__det0__cls1__crop00575_Simple Segmentation.tiff,2945
30_9.MP4.00_00_45_26.Still009__det0__cls1__crop00576_Simple Segmentation.tiff,2547
30_9.MP4.00_00_47_27.Still010__det0__cls1__crop00577_Simple Segmentation.tiff,4845
30_9.MP4.00_00_50_20.Still011__det0__cls1__crop00579_Simple Segmentation.tiff,2237
